ㄅㄚ,ba,八
ㄅㄚˊ,bá,拔
ㄅㄚˇ,bǎ,把
ㄅㄚˋ,bà,霸
ㄅㄚ˙,bạ,吧
ㄅㄛ,bo,玻
ㄅㄛˊ,bó,博
ㄅㄛˇ,bǒ,跛
ㄅㄛˋ,bò,擘
ㄅㄛ˙,bọ,蔔
ㄅㄞ,bai,掰
ㄅㄞˊ,baí,白
ㄅㄞˇ,baǐ,百
ㄅㄞˋ,baì,敗
ㄅㄞ˙,,
ㄅㄟ,bei,杯
ㄅㄟˊ,,
ㄅㄟˇ,beǐ,北
ㄅㄟˋ,beì,倍
ㄅㄟ˙,beị,唄
ㄅㄠ,bao,包
ㄅㄠˊ,baó,雹
ㄅㄠˇ,baǒ,飽
ㄅㄠˋ,baò,抱
ㄅㄠ˙,baọ,寶
ㄅㄢ,ban,班
ㄅㄢˊ,,
ㄅㄢˇ,bǎn,板
ㄅㄢˋ,bàn,半
ㄅㄢ˙,,
ㄅㄣ,ben,奔
ㄅㄣˊ,,
ㄅㄣˇ,běn,本
ㄅㄣˋ,bèn,笨
ㄅㄣ˙,,
ㄅㄤ,bang,邦
ㄅㄤˊ,,
ㄅㄤˇ,bǎng,綁
ㄅㄤˋ,bàng,棒
ㄅㄤ˙,,
ㄅㄥ,beng,崩
ㄅㄥˊ,béng,甭
ㄅㄥˇ,běng,埲
ㄅㄥˋ,bèng,蹦
ㄅㄥ˙,,
ㄅㄧ,bi,逼
ㄅㄧˊ,bí,鼻
ㄅㄧˇ,bǐ,筆
ㄅㄧˋ,bì,必
ㄅㄧ˙,,　
ㄅㄧㄝ,bieh,憋
ㄅㄧㄝˊ,biéh,別
ㄅㄧㄝˇ,biěh,癟
ㄅㄧㄝˋ,bièh,彆
ㄅㄧㄝ˙,,　
ㄅㄧㄠ,biao,標
ㄅㄧㄠˊ,,　
ㄅㄧㄠˇ,biaǒ,表
ㄅㄧㄠˋ,biaò,鰾
ㄅㄧㄠ˙,,　
ㄅㄧㄢ,bian,編
ㄅㄧㄢˊ,,　
ㄅㄧㄢˇ,biǎn,扁
ㄅㄧㄢˋ,biàn,變
ㄅㄧㄢ˙,,　
ㄅㄧㄣ,bin,彬
ㄅㄧㄣˊ,,　
ㄅㄧㄣˇ,,　
ㄅㄧㄣˋ,bìn,殯
ㄅㄧㄣ˙,,　
ㄅㄧㄥ,bing,冰
ㄅㄧㄥˊ,,　
ㄅㄧㄥˇ,bǐng,丙
ㄅㄧㄥˋ,bìng,並
ㄅㄧㄥ˙,,
ㄅㄨ,bu,晡
ㄅㄨˊ,bú,不
ㄅㄨˇ,bǔ,補
ㄅㄨˋ,bù,布
ㄅㄨ˙,,　
(ㄅㄨㄛ),buo,玻
(ㄅㄨㄛˊ),buó,博
(ㄅㄨㄛˇ),buǒ,跛
(ㄅㄨㄛˋ),buò,擘
(ㄅㄨㄛ˙),buọ,蔔
(ㄅㄨㄥ),bong,崩
(ㄅㄨㄥˊ),bóng,甭
(ㄅㄨㄥˇ),bǒng,埲
(ㄅㄨㄥˋ),bòng,蹦
(ㄅㄨㄥ˙),,
ㄆㄚ,pa,葩
ㄆㄚˊ,pá,爬
ㄆㄚˇ,,　
ㄆㄚˋ,pà,怕
ㄆㄚ˙,,　
ㄆㄛ,po,波
ㄆㄛˊ,pó,皤
ㄆㄛˇ,pǒ,頗
ㄆㄛˋ,pò,破
ㄆㄛ˙,pọ,婆
ㄆㄞ,pai,拍
ㄆㄞˊ,paí,排
ㄆㄞˇ,paǐ,俖
ㄆㄞˋ,paì,派
ㄆㄞ˙,,　
ㄆㄟ,pei,胚
ㄆㄟˊ,peí,培
ㄆㄟˇ,peǐ,琣
ㄆㄟˋ,peì,配
ㄆㄟ˙,,　
ㄆㄠ,pao,拋
ㄆㄠˊ,paó,袍
ㄆㄠˇ,paǒ,跑
ㄆㄠˋ,paò,泡
ㄆㄠ˙,,
ㄆㄡ,pou,吥
ㄆㄡˊ,poú,抔
ㄆㄡˇ,poǔ,剖
ㄆㄡˋ,,　
ㄆㄡ˙,,
ㄆㄢ,pan,潘
ㄆㄢˊ,pán,盤
ㄆㄢˇ,pǎn,坢
ㄆㄢˋ,pàn,判
ㄆㄢ˙,,
ㄆㄣ,pen,噴
ㄆㄣˊ,pén,盆
ㄆㄣˇ,pěn,翉
ㄆㄣˋ,pèn,噴
ㄆㄣ˙,,
ㄆㄤ,pang,滂
ㄆㄤˊ,páng,旁
ㄆㄤˇ,pǎng,嗙
ㄆㄤˋ,pàng,胖
ㄆㄤ˙,,
ㄆㄥ,peng,烹
ㄆㄥˊ,péng,朋
ㄆㄥˇ,pěng,捧
ㄆㄥˋ,pèng,碰
ㄆㄥ˙,,
ㄆㄧ,pi,披
ㄆㄧˊ,pí,皮
ㄆㄧˇ,pǐ,痞
ㄆㄧˋ,pì,闢
ㄆㄧ˙,,　
ㄆㄧㄝ,pieh,瞥
ㄆㄧㄝˊ,,　
ㄆㄧㄝˇ,piěh,撇
ㄆㄧㄝˋ,pièh,嫳
ㄆㄧㄝ˙,,　
ㄆㄧㄠ,piao,飄
ㄆㄧㄠˊ,piaó,瓢
ㄆㄧㄠˇ,piaǒ,縹
ㄆㄧㄠˋ,piaò,票
ㄆㄧㄠ˙,,　
ㄆㄧㄢ,pian,偏
