注音      羅馬拼音  通用拼音  漢語拼音  注音二式  威妥瑪拼音
ㄅㄚ      ba        ba        ba        ba        pa
ㄅㄛ      bo        bo        bo        bo        po
ㄅㄞ      bai       bai       bai       bai       pai
ㄅㄟ      bei       bei       bei       bei       pei
ㄅㄠ      bao       bao       bao       bau       pao
ㄅㄢ      ban       ban       ban       ban       pan
ㄅㄣ      ben       ben       ben       ben       pên
ㄅㄤ      bang      bang      bang      bang      pang
ㄅㄥ      beng      beng      beng      beng      pêng
ㄅㄧ      bi        bi        bi        bi        pi
ㄅㄧㄝ    bieh      bie       bie       bie       pieh
ㄅㄧㄠ    biao      biao      biao      biau      piao
ㄅㄧㄢ    bian      bian      bian      bian      pien
ㄅㄧㄣ    bin       bin       bin       bin       pin
ㄅㄧㄥ    bing      bing      bing      bing      ping
ㄅㄨ      bu        bu        bu        bu        pu
(ㄅㄨㄛ)  buo       bo        bo        bo        po
(ㄅㄨㄥ)  bong      beng      beng      beng      pêng
ㄆㄚ      pa        pa        pa        pa        p'a
ㄆㄛ      po        po        po        po        p'o
ㄆㄞ      pai       pai       pai       pai       p'ai
ㄆㄟ      pei       pei       pei       pei       p'ei
ㄆㄠ      pao       pao       pao       pau       p'ao
ㄆㄡ      pou       pou       pou       pou       p'ou
ㄆㄢ      pan       pan       pan       pan       p'an
ㄆㄣ      pen       pen       pen       pen       p'ên
ㄆㄤ      pang      pang      pang      pang      p'ang
ㄆㄥ      peng      peng      peng      peng      p'êng
ㄆㄧ      pi        pi        pi        pi        p'i
ㄆㄧㄝ    pieh      pie       pie       pie       p'ieh
ㄆㄧㄠ    piao      piao      piao      piau      p'iao
ㄆㄧㄢ    pian      pian      pian      pian      p'ien
ㄆㄧㄣ    pin       pin       pin       pin       p'in
ㄆㄧㄥ    ping      ping      ping      ping      p'ing
ㄆㄨ      pu        pu        pu        pu        p'u
(ㄆㄨㄛ)  puo       po        po        po        p'o
(ㄆㄨㄥ)  pong      peng      peng      peng      p'êng
ㄇㄚ      ma        ma        ma        ma        ma
ㄇㄛ      mo        mo        mo        mo        mo
ㄇㄜ      me        me        me        me        mê
ㄇㄞ      mai       mai       mai       mai       mai
ㄇㄟ      mei       mei       mei       mei       mei
ㄇㄠ      mao       mao       mao       mau       mao
ㄇㄡ      mou       mou       mou       mou       mou
ㄇㄢ      man       man       man       man       man
ㄇㄣ      men       men       men       men       mên
ㄇㄤ      mang      mang      mang      mang      mang
ㄇㄥ      meng      meng      meng      meng      mêng
ㄇㄧ      mi        mi        mi        mi        mi
ㄇㄧㄝ    mieh      mie       mie       mie       mieh
ㄇㄧㄠ    miao      miao      miao      miau      miao
ㄇㄧㄡ    miou      miou      miu       miou      miu
ㄇㄧㄢ    mian      mian      mian      mian      mien
ㄇㄧㄣ    min       min       min       min       min
ㄇㄧㄥ    ming      ming      ming      ming      ming
